	sub_rate	variable	value	set
0	Dynamic SR	1	0.8512	"MinTEs Reduced
Templates (RTs) on
the training set"
1	0.05	1	0.8177	"MinTEs Reduced
Templates (RTs) on
the training set"
2	0.15	1	0.8271	"MinTEs Reduced
Templates (RTs) on
the training set"
3	0.25	1	0.8296	"MinTEs Reduced
Templates (RTs) on
the training set"
4	0.5	1	0.8483	"MinTEs Reduced
Templates (RTs) on
the training set"
5	0.75	1	0.8307	"MinTEs Reduced
Templates (RTs) on
the training set"
6	1	1	0.8167	"MinTEs Reduced
Templates (RTs) on
the training set"
7	Dynamic SR	2	0.8459	"MinTEs Reduced
Templates (RTs) on
the training set"
8	0.05	2	0.8397	"MinTEs Reduced
Templates (RTs) on
the training set"
9	0.15	2	0.8386	"MinTEs Reduced
Templates (RTs) on
the training set"
10	0.25	2	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
11	0.5	2	0.8191	"MinTEs Reduced
Templates (RTs) on
the training set"
12	0.75	2	0.8317	"MinTEs Reduced
Templates (RTs) on
the training set"
13	1	2	0.8305	"MinTEs Reduced
Templates (RTs) on
the training set"
14	Dynamic SR	3	0.8475	"MinTEs Reduced
Templates (RTs) on
the training set"
15	0.05	3	0.8569	"MinTEs Reduced
Templates (RTs) on
the training set"
16	0.15	3	0.8435	"MinTEs Reduced
Templates (RTs) on
the training set"
17	0.25	3	0.8347	"MinTEs Reduced
Templates (RTs) on
the training set"
18	0.5	3	0.8338	"MinTEs Reduced
Templates (RTs) on
the training set"
19	0.75	3	0.8279	"MinTEs Reduced
Templates (RTs) on
the training set"
20	1	3	0.8257	"MinTEs Reduced
Templates (RTs) on
the training set"
21	Dynamic SR	4	0.8669	"MinTEs Reduced
Templates (RTs) on
the training set"
22	0.05	4	0.829	"MinTEs Reduced
Templates (RTs) on
the training set"
23	0.15	4	0.8474	"MinTEs Reduced
Templates (RTs) on
the training set"
24	0.25	4	0.8321	"MinTEs Reduced
Templates (RTs) on
the training set"
25	0.5	4	0.8443	"MinTEs Reduced
Templates (RTs) on
the training set"
26	0.75	4	0.8313	"MinTEs Reduced
Templates (RTs) on
the training set"
27	1	4	0.8147	"MinTEs Reduced
Templates (RTs) on
the training set"
28	Dynamic SR	5	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
29	0.05	5	0.8407	"MinTEs Reduced
Templates (RTs) on
the training set"
30	0.15	5	0.8287	"MinTEs Reduced
Templates (RTs) on
the training set"
31	0.25	5	0.8347	"MinTEs Reduced
Templates (RTs) on
the training set"
32	0.5	5	0.8261	"MinTEs Reduced
Templates (RTs) on
the training set"
33	0.75	5	0.8188	"MinTEs Reduced
Templates (RTs) on
the training set"
34	1	5	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
35	Dynamic SR	6	0.8558	"MinTEs Reduced
Templates (RTs) on
the training set"
36	0.05	6	0.8377	"MinTEs Reduced
Templates (RTs) on
the training set"
37	0.15	6	0.8172	"MinTEs Reduced
Templates (RTs) on
the training set"
38	0.25	6	0.8076	"MinTEs Reduced
Templates (RTs) on
the training set"
