	model_name	MAGeCK	gset	perc	AUC	diff	avg
0	22RV1	0.9249269898582276	ADaM2021	5	0.9433333333333334	0.018406343475105724	0.9341301615957804
1	22RV1	0.9249269898582276	ADaM2021	100	0.9427587786421238	0.01783178878389613	0.9338428842501757
2	23132-87	0.9602141188339616	ADaM2021	5	0.9722222222222222	0.012008103388260638	0.9662181705280919
3	23132-87	0.9602141188339616	ADaM2021	100	0.9668679404148508	0.00665382158088923	0.9635410296244062
4	42-MG-BA	0.9288582541283916	ADaM2021	5	0.9522222222222222	0.023363968093830567	0.940540238175307
5	42-MG-BA	0.9288582541283916	ADaM2021	100	0.9632934669215576	0.03443521279316597	0.9460758605249746
6	769-P	0.9646252588541392	ADaM2021	5	0.9789244186046512	0.014299159750511992	0.9717748387293952
7	769-P	0.9646252588541392	ADaM2021	100	0.943187954496364	-0.021437304357775244	0.9539066066752515
8	8-MG-BA	0.9737269686189136	ADaM2021	5	0.9716666666666668	-0.0020603019522468236	0.9726968176427901
9	8-MG-BA	0.9737269686189136	ADaM2021	100	0.9762350467858864	0.002508078166972738	0.9749810077023999
10	A172	0.9547695534434238	ADaM2021	5	0.9688888888888888	0.014119335445464953	0.9618292211661563
11	A172	0.9547695534434238	ADaM2021	100	0.9653017914731596	0.010532238029735796	0.9600356724582917
12	A2058	0.9777823501300908	ADaM2021	5	0.9877777777777778	0.009995427647686905	0.9827800639539344
13	A2058	0.9777823501300908	ADaM2021	100	0.9779229926021638	0.00014064247207290492	0.9778526713661273
14	A253	0.9459041310465672	ADaM2021	5	0.9638888888888888	0.017984757842321564	0.954896509967728
15	A253	0.9459041310465672	ADaM2021	100	0.97021007313108	0.024305942084512755	0.9580571020888236
16	A2780	0.9455795677799608	ADaM2021	5	0.9888888888888888	0.043309321108928045	0.9672342283344249
17	A2780	0.9455795677799608	ADaM2021	100	0.9770088541032308	0.03142928632327002	0.9612942109415958
18	A2780ADR	0.969003212446238	ADaM2021	5	0.9838888888888888	0.01488567644265082	0.9764460506675634
19	A2780ADR	0.969003212446238	ADaM2021	100	0.975803462208548	0.006800249762309973	0.972403337327393
