	gset	source	perc	type	value
0	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7549836204063272
1	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5635781764449014
2	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5730797716232974
3	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.749007710328568
4	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9025206967518568
5	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6428510219076318
6	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9790324508173388
7	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3951879157076733
8	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8623193262278183
9	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9836321990340308
10	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7003244938479863
11	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.36730800836727
12	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.659499836392156
13	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7470301885480809
14	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3487068604751832
15	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7344143578862923
16	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8944440955096598
17	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6076676889905284
18	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3129296010003679
19	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7940331318368352
20	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5966038760328748
21	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7974678565810953
22	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.642678768151338
23	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7016780889059727
24	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7210056979521875
25	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6890527799732561
26	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6134858082670779
27	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4843274435501229
28	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5362616509985625
29	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7002349076801951
