	gset	source	perc	type	value
0	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6529637325411677
1	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.531042321084501
2	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9588480992593296
3	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7005017987851273
4	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3539628955320702
5	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8691773468152061
6	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3249880227676701
7	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4645355546577837
8	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.844973656550967
9	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6462614731868113
10	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8438154643445084
11	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.710567015622161
12	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.949177378108821
13	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6068842516201832
14	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5305501017200303
15	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6102334530722859
16	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.534022349624424
17	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4341105984165869
18	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9576901292118396
19	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8201091784528679
20	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5060090620178493
21	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5959873396337214
22	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3972393767110554
23	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.297238057696827
24	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6708773343545824
25	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.1694535550118882
26	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9847353747497952
27	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7888918866220711
28	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5756641529268932
29	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5110716230730861
30	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5289946174393118
31	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.834131990111742
32	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.2687080396243822
33	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7480404296902362
34	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9424396757293216
35	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9341069242348866
36	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7368907128430754
37	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9918797390723212
38	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5625813830402704
39	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3249880227676701
40	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5940620410322772
41	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5168924287685014
