	Gene	Corrected fold-changes	category	gset	Library
0	OR4F5	-0.843769747925735	Common	ADaM2021	Brunello
1	OR4F29	-1.2793497103851463	Common	ADaM2021	Brunello
2	OR4F16	-1.3493555067459857	Common	ADaM2021	Brunello
3	NOC2L	-2.5328877807730774	Common	ADaM2021	Brunello
4	UBE2J2	-0.3004558341839697	Exclusive	ADaM2021	Brunello
5	CPSF3L	-3.212427878256365	Common	ADaM2021	Brunello
6	AURKAIP1	-0.5215668193180827	Common	ADaM2021	Brunello
7	MRPL20	-0.7748545730844102	Common	ADaM2021	Brunello
8	SSU72	-3.2293734726755075	Common	ADaM2021	Brunello
9	CDK11B	-0.7776291649262331	Common	ADaM2021	Brunello
10	RPL22	-0.5918330309140469	Common	ADaM2021	Brunello
11	ICMT	-0.300480754425761	Exclusive	ADaM2021	Brunello
12	NOL9	-2.881358095819665	Common	ADaM2021	Brunello
13	DNAJC11	-4.303635600130219	Common	ADaM2021	Brunello
14	TNFRSF9	-0.3220937069969701	Common	ADaM2021	Brunello
15	RERE	-0.3307073141646765	Common	ADaM2021	Brunello
16	ENO1	-1.630341483108115	Common	ADaM2021	Brunello
17	CTNNBIP1	-0.5204642028374532	Common	ADaM2021	Brunello
18	UBE4B	-0.3010351079803651	Exclusive	ADaM2021	Brunello
19	PGD	-2.630919909043231	Common	ADaM2021	Brunello
20	TARDBP	-1.1437333946956354	Common	ADaM2021	Brunello
21	EXOSC10	-1.3668350854269158	Common	ADaM2021	Brunello
22	MTOR	-1.8127295418330036	Common	ADaM2021	Brunello
23	MFN2	-2.818381179288776	Common	ADaM2021	Brunello
24	VPS13D	-2.795406045866583	Common	ADaM2021	Brunello
25	AADACL4	-0.2424344889808529	Exclusive	ADaM2021	Brunello
26	PRAMEF1	-0.4622339032461234	Common	ADaM2021	Brunello
27	PRAMEF11	-0.3258328099713352	Common	ADaM2021	Brunello
28	HNRNPCL1	-0.5664940339609761	Common	ADaM2021	Brunello
29	PRAMEF6	-0.3839085923640326	Common	ADaM2021	Brunello
30	HNRNPCL3	-0.3404113374244539	Common	ADaM2021	Brunello
31	HNRNPCL4	-0.2672827801868216	Exclusive	ADaM2021	Brunello
32	LOC391003	-0.2363580415818179	Exclusive	ADaM2021	Brunello
33	PRAMEF5	-0.2447789705239884	Exclusive	ADaM2021	Brunello
34	PRAMEF15	-0.2464301854340241	Exclusive	ADaM2021	Brunello
35	PRAMEF20	-0.3209209937344831	Common	ADaM2021	Brunello
36	FHAD1	-0.3208091046825803	Common	ADaM2021	Brunello
