	gset	source	perc	value	type
0	ADaM2021	AVANA	0.05	0.2790118013147093	Data-driven RTs
1	ADaM2021	AVANA	0.1	0.2956989640226158	Data-driven RTs
2	ADaM2021	AVANA	0.15	0.3123552536643876	Data-driven RTs
3	ADaM2021	AVANA	0.2	0.3325028394305762	Data-driven RTs
4	ADaM2021	AVANA	0.25	0.3577740063436596	Data-driven RTs
5	ADaM2021	AVANA	0.3	0.3735477648728982	Data-driven RTs
6	ADaM2021	AVANA	0.35	0.3866690093650206	Data-driven RTs
7	ADaM2021	AVANA	0.4	0.4070836744154624	Data-driven RTs
8	ADaM2021	AVANA	0.45	0.4268862733392509	Data-driven RTs
9	ADaM2021	AVANA	0.5	0.444343190544681	Data-driven RTs
10	ADaM2021	AVANA	0.55	0.4626703161968927	Data-driven RTs
11	ADaM2021	AVANA	0.6	0.4851317623579052	Data-driven RTs
12	ADaM2021	AVANA	0.65	0.5085576560141095	Data-driven RTs
13	ADaM2021	AVANA	0.7	0.5333727522639691	Data-driven RTs
14	ADaM2021	AVANA	0.75	0.5659783018834529	Data-driven RTs
15	ADaM2021	AVANA	0.8	0.6006456174695083	Data-driven RTs
16	ADaM2021	AVANA	0.85	0.6426996516280825	Data-driven RTs
17	ADaM2021	AVANA	0.9	0.7022158583496207	Data-driven RTs
18	ADaM2021	AVANA	0.95	0.7835701694252748	Data-driven RTs
19	ADaM2021	KY	0.05	0.2811430038051998	Data-driven RTs
20	ADaM2021	KY	0.1	0.2934590209788542	Data-driven RTs
21	ADaM2021	KY	0.15	0.2999189404492642	Data-driven RTs
22	ADaM2021	KY	0.2	0.3309868983863216	Data-driven RTs
23	ADaM2021	KY	0.25	0.343688883385259	Data-driven RTs
24	ADaM2021	KY	0.3	0.3556120993037681	Data-driven RTs
25	ADaM2021	KY	0.35	0.3780844286851791	Data-driven RTs
26	ADaM2021	KY	0.4	0.3946745548204537	Data-driven RTs
27	ADaM2021	KY	0.45	0.4110246569019922	Data-driven RTs
28	ADaM2021	KY	0.5	0.4310243296470059	Data-driven RTs
29	ADaM2021	KY	0.55	0.454792318247637	Data-driven RTs
30	ADaM2021	KY	0.6	0.4808299546845383	Data-driven RTs
31	ADaM2021	KY	0.65	0.5084908607742453	Data-driven RTs
32	ADaM2021	KY	0.7	0.5344693656195875	Data-driven RTs
33	ADaM2021	KY	0.75	0.5624037882948885	Data-driven RTs
34	ADaM2021	KY	0.8	0.5929533034343345	Data-driven RTs
35	ADaM2021	KY	0.85	0.6355230889150906	Data-driven RTs
36	ADaM2021	KY	0.9	0.6920517438712055	Data-driven RTs
37	ADaM2021	KY	0.95	0.7783958802568995	Data-driven RTs
38	Hart2017	AVANA	0.05	0.2783474253155241	Data-driven RTs
39	Hart2017	AVANA	0.1	0.2775171407061037	Data-driven RTs
40	Hart2017	AVANA	0.15	0.2876660708355021	Data-driven RTs
41	Hart2017	AVANA	0.2	0.3064557178636439	Data-driven RTs
42	Hart2017	AVANA	0.25	0.3335937470355285	Data-driven RTs
43	Hart2017	AVANA	0.3	0.3458122533288315	Data-driven RTs
44	Hart2017	AVANA	0.35	0.3567762555485341	Data-driven RTs
45	Hart2017	AVANA	0.4	0.373534509392751	Data-driven RTs
46	Hart2017	AVANA	0.45	0.3887820431369003	Data-driven RTs
47	Hart2017	AVANA	0.5	0.4102201589828376	Data-driven RTs
48	Hart2017	AVANA	0.55	0.426097991356348	Data-driven RTs
49	Hart2017	AVANA	0.6	0.4445888603159093	Data-driven RTs
50	Hart2017	AVANA	0.65	0.4671208757970697	Data-driven RTs
51	Hart2017	AVANA	0.7	0.4917005453299438	Data-driven RTs
52	Hart2017	AVANA	0.75	0.523911227548162	Data-driven RTs
53	Hart2017	AVANA	0.8	0.555085444969419	Data-driven RTs
54	Hart2017	AVANA	0.85	0.5945919057341462	Data-driven RTs
55	Hart2017	AVANA	0.9	0.6519438530579549	Data-driven RTs
56	Hart2017	AVANA	0.95	0.7312701439423872	Data-driven RTs
57	Hart2017	KY	0.05	0.2905974854228038	Data-driven RTs
58	Hart2017	KY	0.1	0.2683967772446871	Data-driven RTs
59	Hart2017	KY	0.15	0.2694671764303681	Data-driven RTs
60	Hart2017	KY	0.2	0.3042893596016089	Data-driven RTs
61	Hart2017	KY	0.25	0.3140688823505762	Data-driven RTs
62	Hart2017	KY	0.3	0.32077046068854	Data-driven RTs
63	Hart2017	KY	0.35	0.3382200834691733	Data-driven RTs
64	Hart2017	KY	0.4	0.362575592498388	Data-driven RTs
65	Hart2017	KY	0.45	0.3748891410082003	Data-driven RTs
66	Hart2017	KY	0.5	0.3888311196346961	Data-driven RTs
67	Hart2017	KY	0.55	0.4141469708352755	Data-driven RTs
68	Hart2017	KY	0.6	0.4397287503603065	Data-driven RTs
69	Hart2017	KY	0.65	0.4636075057969602	Data-driven RTs
70	Hart2017	KY	0.7	0.4881626455057266	Data-driven RTs
71	Hart2017	KY	0.75	0.515796049333854	Data-driven RTs
72	Hart2017	KY	0.8	0.5434240535934654	Data-driven RTs
73	Hart2017	KY	0.85	0.5839413786757105	Data-driven RTs
74	Hart2017	KY	0.9	0.6419536450775869	Data-driven RTs
75	Hart2017	KY	0.95	0.7320911693901034	Data-driven RTs
76	ADaM2021	AVANA	0.05	0.8788585920119584	"MinTEs Reduced
Templates (RTs)"
77	ADaM2021	KY	0.05	0.8334639870633201	"MinTEs Reduced
Templates (RTs)"
78	ADaM2021	AVANA	0.1	0.8978431561616871	"MinTEs Reduced
Templates (RTs)"
79	ADaM2021	KY	0.1	0.866608115001013	"MinTEs Reduced
Templates (RTs)"
80	ADaM2021	AVANA	0.15	0.9137400539158096	"MinTEs Reduced
Templates (RTs)"
81	ADaM2021	KY	0.15	0.8956026423561444	"MinTEs Reduced
Templates (RTs)"
82	ADaM2021	AVANA	0.2	0.9252575650610168	"MinTEs Reduced
Templates (RTs)"
83	ADaM2021	KY	0.2	0.91374261328976	"MinTEs Reduced
Templates (RTs)"
84	ADaM2021	AVANA	0.25	0.9371483297193384	"MinTEs Reduced
Templates (RTs)"
85	ADaM2021	KY	0.25	0.9148778232876488	"MinTEs Reduced
Templates (RTs)"
86	ADaM2021	AVANA	0.3	0.9318481399186456	"MinTEs Reduced
Templates (RTs)"
87	ADaM2021	KY	0.3	0.9178198507480444	"MinTEs Reduced
Templates (RTs)"
88	ADaM2021	AVANA	0.35	0.945557483623454	"MinTEs Reduced
Templates (RTs)"
89	ADaM2021	KY	0.35	0.9309796402078196	"MinTEs Reduced
Templates (RTs)"
90	ADaM2021	AVANA	0.4	0.9443702623386931	"MinTEs Reduced
Templates (RTs)"
91	ADaM2021	KY	0.4	0.940468214091329	"MinTEs Reduced
Templates (RTs)"
92	ADaM2021	AVANA	0.45	0.957375222194099	"MinTEs Reduced
Templates (RTs)"
93	ADaM2021	KY	0.45	0.9434107448174524	"MinTEs Reduced
Templates (RTs)"
94	ADaM2021	AVANA	0.5	0.9551318981055024	"MinTEs Reduced
Templates (RTs)"
95	ADaM2021	KY	0.5	0.9542682255455888	"MinTEs Reduced
Templates (RTs)"
96	ADaM2021	AVANA	0.55	0.9596553107222532	"MinTEs Reduced
Templates (RTs)"
97	ADaM2021	KY	0.55	0.9480209238415196	"MinTEs Reduced
Templates (RTs)"
98	ADaM2021	AVANA	0.6	0.9627287858167316	"MinTEs Reduced
Templates (RTs)"
99	ADaM2021	KY	0.6	0.957116834769861	"MinTEs Reduced
Templates (RTs)"
100	ADaM2021	AVANA	0.65	0.9592140061966452	"MinTEs Reduced
Templates (RTs)"
101	ADaM2021	KY	0.65	0.9619792412025272	"MinTEs Reduced
Templates (RTs)"
102	ADaM2021	AVANA	0.7	0.9699871046420344	"MinTEs Reduced
Templates (RTs)"
103	ADaM2021	KY	0.7	0.9626173610453131	"MinTEs Reduced
Templates (RTs)"
104	ADaM2021	AVANA	0.75	0.9718537557199404	"MinTEs Reduced
Templates (RTs)"
105	ADaM2021	KY	0.75	0.97092645523419	"MinTEs Reduced
Templates (RTs)"
106	ADaM2021	AVANA	0.8	0.976690197443186	"MinTEs Reduced
Templates (RTs)"
107	ADaM2021	KY	0.8	0.9726770437645464	"MinTEs Reduced
Templates (RTs)"
108	ADaM2021	AVANA	0.85	0.9821507108315164	"MinTEs Reduced
Templates (RTs)"
109	ADaM2021	KY	0.85	0.9728740254319266	"MinTEs Reduced
Templates (RTs)"
110	ADaM2021	AVANA	0.9	0.9821261528239924	"MinTEs Reduced
Templates (RTs)"
111	ADaM2021	KY	0.9	0.9798408745039888	"MinTEs Reduced
Templates (RTs)"
112	ADaM2021	AVANA	0.95	0.990173543644608	"MinTEs Reduced
Templates (RTs)"
113	ADaM2021	KY	0.95	0.976137913310399	"MinTEs Reduced
Templates (RTs)"
114	Hart2017	AVANA	0.05	0.8501396647727947	"MinTEs Reduced
Templates (RTs)"
115	Hart2017	KY	0.05	0.8286270464838622	"MinTEs Reduced
Templates (RTs)"
116	Hart2017	AVANA	0.1	0.8864404892230505	"MinTEs Reduced
Templates (RTs)"
117	Hart2017	KY	0.1	0.8629201720921358	"MinTEs Reduced
Templates (RTs)"
118	Hart2017	AVANA	0.15	0.9002431337673494	"MinTEs Reduced
Templates (RTs)"
