	type	value	gset	source	perc
0	"Random
subsampled RTs"	0.8234	ADaM2021	AVANA	0.05
1	"Random
subsampled RTs"	0.8443	ADaM2021	AVANA	0.1
2	"Random
subsampled RTs"	0.8529	ADaM2021	AVANA	0.15
3	"Random
subsampled RTs"	0.8829	ADaM2021	AVANA	0.2
4	"Random
subsampled RTs"	0.8967	ADaM2021	AVANA	0.25
5	"Random
subsampled RTs"	0.8971	ADaM2021	AVANA	0.3
6	"Random
subsampled RTs"	0.8999	ADaM2021	AVANA	0.35
7	"Random
subsampled RTs"	0.907	ADaM2021	AVANA	0.4
8	"Random
subsampled RTs"	0.9089	ADaM2021	AVANA	0.45
9	"Random
subsampled RTs"	0.9222	ADaM2021	AVANA	0.5
10	"Random
subsampled RTs"	0.9171	ADaM2021	AVANA	0.55
11	"Random
subsampled RTs"	0.897	ADaM2021	AVANA	0.6
12	"Random
subsampled RTs"	0.9175	ADaM2021	AVANA	0.65
13	"Random
subsampled RTs"	0.9392	ADaM2021	AVANA	0.7
14	"Random
subsampled RTs"	0.9453	ADaM2021	AVANA	0.75
15	"Random
subsampled RTs"	0.9527	ADaM2021	AVANA	0.8
16	"Random
subsampled RTs"	0.9569	ADaM2021	AVANA	0.85
17	"Random
subsampled RTs"	0.96	ADaM2021	AVANA	0.9
18	"Random
subsampled RTs"	0.9659	ADaM2021	AVANA	0.95
19	"Random
subsampled RTs"	0.8501	ADaM2021	KY	0.05
20	"Random
subsampled RTs"	0.8493	ADaM2021	KY	0.1
21	"Random
subsampled RTs"	0.884	ADaM2021	KY	0.15
22	"Random
subsampled RTs"	0.9087	ADaM2021	KY	0.2
23	"Random
subsampled RTs"	0.9227	ADaM2021	KY	0.25
24	"Random
subsampled RTs"	0.9193	ADaM2021	KY	0.3
25	"Random
subsampled RTs"	0.934	ADaM2021	KY	0.35
26	"Random
subsampled RTs"	0.9425	ADaM2021	KY	0.4
27	"Random
subsampled RTs"	0.9475	ADaM2021	KY	0.45
28	"Random
subsampled RTs"	0.952	ADaM2021	KY	0.5
29	"Random
subsampled RTs"	0.96	ADaM2021	KY	0.55
30	"Random
subsampled RTs"	0.9573	ADaM2021	KY	0.6
31	"Random
subsampled RTs"	0.9603	ADaM2021	KY	0.65
32	"Random
subsampled RTs"	0.9578	ADaM2021	KY	0.7
33	"Random
subsampled RTs"	0.9625	ADaM2021	KY	0.75
34	"Random
subsampled RTs"	0.9648	ADaM2021	KY	0.8
35	"Random
subsampled RTs"	0.9702	ADaM2021	KY	0.85
36	"Random
subsampled RTs"	0.9778	ADaM2021	KY	0.9
37	"Random
subsampled RTs"	0.9835	ADaM2021	KY	0.95
38	"Random
subsampled RTs"	0.7056	Hart2017	AVANA	0.05
39	"Random
subsampled RTs"	0.7521	Hart2017	AVANA	0.1
40	"Random
subsampled RTs"	0.8276	Hart2017	AVANA	0.15
41	"Random
subsampled RTs"	0.8458	Hart2017	AVANA	0.2
42	"Random
subsampled RTs"	0.8508	Hart2017	AVANA	0.25
43	"Random
subsampled RTs"	0.8331	Hart2017	AVANA	0.3
44	"Random
subsampled RTs"	0.8499	Hart2017	AVANA	0.35
45	"Random
subsampled RTs"	0.8636	Hart2017	AVANA	0.4
46	"Random
subsampled RTs"	0.8801	Hart2017	AVANA	0.45
47	"Random
subsampled RTs"	0.8847	Hart2017	AVANA	0.5
48	"Random
subsampled RTs"	0.898	Hart2017	AVANA	0.55
49	"Random
subsampled RTs"	0.8891	Hart2017	AVANA	0.6
50	"Random
subsampled RTs"	0.9005	Hart2017	AVANA	0.65
51	"Random
subsampled RTs"	0.9079	Hart2017	AVANA	0.7
52	"Random
subsampled RTs"	0.9029	Hart2017	AVANA	0.75
53	"Random
subsampled RTs"	0.892	Hart2017	AVANA	0.8
54	"Random
subsampled RTs"	0.9352	Hart2017	AVANA	0.85
55	"Random
subsampled RTs"	0.9393	Hart2017	AVANA	0.9
56	"Random
subsampled RTs"	0.9462	Hart2017	AVANA	0.95
57	"Random
subsampled RTs"	0.817	Hart2017	KY	0.05
58	"Random
subsampled RTs"	0.8667	Hart2017	KY	0.1
59	"Random
subsampled RTs"	0.885	Hart2017	KY	0.15
60	"Random
subsampled RTs"	0.8987	Hart2017	KY	0.2
61	"Random
subsampled RTs"	0.908	Hart2017	KY	0.25
62	"Random
subsampled RTs"	0.9088	Hart2017	KY	0.3
63	"Random
subsampled RTs"	0.921	Hart2017	KY	0.35
64	"Random
subsampled RTs"	0.9281	Hart2017	KY	0.4
65	"Random
subsampled RTs"	0.922	Hart2017	KY	0.45
66	"Random
subsampled RTs"	0.9309	Hart2017	KY	0.5
67	"Random
subsampled RTs"	0.9414	Hart2017	KY	0.55
68	"Random
subsampled RTs"	0.9422	Hart2017	KY	0.6
69	"Random
subsampled RTs"	0.941	Hart2017	KY	0.65
70	"Random
subsampled RTs"	0.9454	Hart2017	KY	0.7
71	"Random
subsampled RTs"	0.9517	Hart2017	KY	0.75
72	"Random
subsampled RTs"	0.9662	Hart2017	KY	0.8
73	"Random
subsampled RTs"	0.9693	Hart2017	KY	0.85
74	"Random
subsampled RTs"	0.9712	Hart2017	KY	0.9
75	"Random
subsampled RTs"	0.9764	Hart2017	KY	0.95
76	"Random
subsampled RTs"	0.6874	ADaM2021	AVANA	0.05
77	"Random
subsampled RTs"	0.8139	ADaM2021	AVANA	0.1
78	"Random
subsampled RTs"	0.8729	ADaM2021	AVANA	0.15
79	"Random
subsampled RTs"	0.8934	ADaM2021	AVANA	0.2
80	"Random
subsampled RTs"	0.9125	ADaM2021	AVANA	0.25
81	"Random
subsampled RTs"	0.9181	ADaM2021	AVANA	0.3
82	"Random
subsampled RTs"	0.9239	ADaM2021	AVANA	0.35
83	"Random
subsampled RTs"	0.9173	ADaM2021	AVANA	0.4
84	"Random
subsampled RTs"	0.9279	ADaM2021	AVANA	0.45
85	"Random
subsampled RTs"	0.925	ADaM2021	AVANA	0.5
86	"Random
subsampled RTs"	0.9302	ADaM2021	AVANA	0.55
87	"Random
subsampled RTs"	0.9354	ADaM2021	AVANA	0.6
88	"Random
subsampled RTs"	0.944	ADaM2021	AVANA	0.65
89	"Random
subsampled RTs"	0.947	ADaM2021	AVANA	0.7
90	"Random
subsampled RTs"	0.9499	ADaM2021	AVANA	0.75
91	"Random
subsampled RTs"	0.9537	ADaM2021	AVANA	0.8
92	"Random
subsampled RTs"	0.9532	ADaM2021	AVANA	0.85
93	"Random
subsampled RTs"	0.9568	ADaM2021	AVANA	0.9
94	"Random
subsampled RTs"	0.967	ADaM2021	AVANA	0.95
95	"Random
subsampled RTs"	0.8306	ADaM2021	KY	0.05
96	"Random
subsampled RTs"	0.8911	ADaM2021	KY	0.1
97	"Random
subsampled RTs"	0.9094	ADaM2021	KY	0.15
98	"Random
subsampled RTs"	0.9086	ADaM2021	KY	0.2
99	"Random
subsampled RTs"	0.9163	ADaM2021	KY	0.25
100	"Random
subsampled RTs"	0.9272	ADaM2021	KY	0.3
101	"Random
subsampled RTs"	0.9398	ADaM2021	KY	0.35
102	"Random
subsampled RTs"	0.9316	ADaM2021	KY	0.4
103	"Random
subsampled RTs"	0.9393	ADaM2021	KY	0.45
104	"Random
subsampled RTs"	0.9516	ADaM2021	KY	0.5
105	"Random
subsampled RTs"	0.9549	ADaM2021	KY	0.55
106	"Random
subsampled RTs"	0.9574	ADaM2021	KY	0.6
107	"Random
subsampled RTs"	0.9604	ADaM2021	KY	0.65
108	"Random
subsampled RTs"	0.9664	ADaM2021	KY	0.7
109	"Random
subsampled RTs"	0.97	ADaM2021	KY	0.75
110	"Random
subsampled RTs"	0.9743	ADaM2021	KY	0.8
111	"Random
subsampled RTs"	0.976	ADaM2021	KY	0.85
112	"Random
subsampled RTs"	0.9768	ADaM2021	KY	0.9
113	"Random
subsampled RTs"	0.9825	ADaM2021	KY	0.95
114	"Random
subsampled RTs"	0.6772	Hart2017	AVANA	0.05
115	"Random
subsampled RTs"	0.6639	Hart2017	AVANA	0.1
116	"Random
subsampled RTs"	0.7742	Hart2017	AVANA	0.15
117	"Random
subsampled RTs"	0.8125	Hart2017	AVANA	0.2
118	"Random
subsampled RTs"	0.8471	Hart2017	AVANA	0.25
119	"Random
subsampled RTs"	0.8463	Hart2017	AVANA	0.3
120	"Random
subsampled RTs"	0.8525	Hart2017	AVANA	0.35
121	"Random
subsampled RTs"	0.8456	Hart2017	AVANA	0.4
122	"Random
subsampled RTs"	0.8471	Hart2017	AVANA	0.45
123	"Random
subsampled RTs"	0.8386	Hart2017	AVANA	0.5
124	"Random
subsampled RTs"	0.9019	Hart2017	AVANA	0.55
